id;titel;quelle;kategorie;unterkategorie;punkte;rang_in_unterkategorie;empfehlung;warum
sw-krebs;Krebs;Spielewiki;bewegung_drinnen;fangen;-2;66;Reserve (zweite Reihe);Dublette, kein Material
sw-spiderman;Spiderman;Spielewiki;bewegung_drinnen;fangen;-2;67;Reserve (zweite Reihe);Dublette, kein Material
sw-virus;Virus;Spielewiki;bewegung_drinnen;fangen;-2;68;Reserve (zweite Reihe);Dublette, kein Material
sw-drachenschwanzfangen-gruppenweise;Drachenschwanzfangen (gruppenweise);Spielewiki;bewegung_drinnen;fangen;-3;69;Reserve (zweite Reihe);Dublette, ausführlich beschrieben, braucht große Gruppe
ps-glockenklang;Glockenklang;pfadfinder-spiele;gelaende;gelaende;8;1;Kern;ausführlich beschrieben, Altersstufe da, Tipps da, kurz genug für einen Slot
ps-stufenspiel;Stufenspiel;pfadfinder-spiele;gelaende;gelaende;8;2;Kern;ausführlich beschrieben, Altersstufe da, kurz genug für einen Slot
ps-wald-paare;Wald-Paare;pfadfinder-spiele;gelaende;gelaende;8;3;Kern;Altersstufe da, kurz genug für einen Slot, kein Material
ps-sardine;Sardine;pfadfinder-spiele;gelaende;gelaende;7;4;Kern;Altersstufe da, kein Material
ps-vogeleltern;Vogeleltern;pfadfinder-spiele;gelaende;gelaende;5;5;Kern;ausführlich beschrieben, Altersstufe da
eig-capture-the-flag-im-dunkeln;Capture the Flag im Dunkeln;eigene;gelaende;gelaende;4;6;Kern;eigene Sammlung, dünn beschrieben, Altersstufe da, Tipps da, zu lang für einen Baustein
sw-schmuggeln;Schmuggeln;Spielewiki;gelaende;gelaende;4;7;Kern;ausführlich beschrieben
ps-bosseln;Boßeln;pfadfinder-spiele;gelaende;gelaende;3;8;Kern;ausführlich beschrieben, Altersstufe da, zu lang für einen Baustein
ps-mr-x;Mr. X;pfadfinder-spiele;gelaende;gelaende;3;9;Kern;ausführlich beschrieben, Altersstufe da, zu lang für einen Baustein
sw-geocaching;Geocaching;Spielewiki;gelaende;gelaende;2;10;Kern;ausführlich beschrieben
sw-geisterbahn;Geisterbahn;Spielewiki;gelaende;gelaende;1;11;Reserve (zweite Reihe);ausführlich beschrieben, viel Vorbereitung
ps-nummernspiel;Nummernspiel;pfadfinder-spiele;gelaende;gelaende;1;12;Reserve (zweite Reihe);ausführlich beschrieben, Altersstufe da, zu lang für einen Baustein, braucht große Gruppe
ps-salzschmuggler;Salzschmuggler;pfadfinder-spiele;gelaende;gelaende;1;13;Reserve (zweite Reihe);Altersstufe da, Tipps da, zu lang für einen Baustein
sw-schnitzeljagd;Schnitzeljagd;Spielewiki;gelaende;gelaende;1;14;Reserve (zweite Reihe);ausführlich beschrieben, zu lang für einen Baustein
ps-steinsuche;Steinsuche;pfadfinder-spiele;gelaende;gelaende;1;15;Reserve (zweite Reihe);ausführlich beschrieben, Altersstufe da, zu lang für einen Baustein, braucht große Gruppe
sw-stratego;Stratego;Spielewiki;gelaende;gelaende;1;16;Reserve (zweite Reihe);ausführlich beschrieben, Tipps da, braucht große Gruppe
sw-capture-the-flag;Capture the Flag;Spielewiki;gelaende;gelaende;0;17;Reserve (zweite Reihe);ausführlich beschrieben, zu lang für einen Baustein
sw-fotorallye;Fotorallye;Spielewiki;gelaende;gelaende;0;18;Reserve (zweite Reihe);ausführlich beschrieben, zu lang für einen Baustein
sw-pfeiferlspiel;Pfeiferlspiel;Spielewiki;gelaende;gelaende;0;19;Reserve (zweite Reihe);ausführlich beschrieben, zu lang für einen Baustein
sw-piratenspiel;Piratenspiel;Spielewiki;gelaende;gelaende;0;20;Reserve (zweite Reihe);ausführlich beschrieben, zu lang für einen Baustein, braucht große Gruppe
sw-schatzsuche;Schatzsuche;Spielewiki;gelaende;gelaende;0;21;Reserve (zweite Reihe);ausführlich beschrieben, zu lang für einen Baustein
sw-stationenlauf;Stationenlauf;Spielewiki;gelaende;gelaende;0;22;Reserve (zweite Reihe);ausführlich beschrieben, zu lang für einen Baustein
sw-1-100-spiel;1-100-Spiel;Spielewiki;gelaende;gelaende;-2;23;Reserve (zweite Reihe);ausführlich beschrieben, zu lang für einen Baustein, viel Material, viel Vorbereitung
sw-action-game;Action Game;Spielewiki;gelaende;gelaende;-2;24;Reserve (zweite Reihe);ausführlich beschrieben, zu lang für einen Baustein, viel Vorbereitung
ps-chaos-spiel;Chaos-Spiel;pfadfinder-spiele;gelaende;gelaende;-2;25;Reserve (zweite Reihe);Dublette, ausführlich beschrieben, Altersstufe da, Tipps da, zu lang für einen Baustein
ps-capture-the-flag;Capture the flag;pfadfinder-spiele;gelaende;gelaende;-5;26;Reserve (zweite Reihe);Dublette, ausführlich beschrieben, Altersstufe da, zu lang für einen Baustein, braucht große Gruppe
ps-schmuggler;Schmuggler;pfadfinder-spiele;gelaende;gelaende;-5;27;Reserve (zweite Reihe);Dublette, ausführlich beschrieben, Altersstufe da, zu lang für einen Baustein, braucht große Gruppe
sw-sockenraub;Sockenraub;Spielewiki;bewegung_drinnen;geschick;9;1;Kern;ausführlich beschrieben, kurz genug für einen Slot, kein Material
sw-sternzerreissen;Sternzerreißen;Spielewiki;bewegung_drinnen;geschick;9;2;Kern;ausführlich beschrieben, kurz genug für einen Slot, kein Material
sw-achterbahn;Achterbahn;Spielewiki;bewegung_drinnen;geschick;8;3;Kern;Tipps da, kurz genug für einen Slot, kein Material
sw-abc-spiel;ABC-Spiel;Spielewiki;bewegung_drinnen;geschick;7;4;Kern;ausführlich beschrieben, kurz genug für einen Slot
sw-ei-am-berg;Ei am Berg;Spielewiki;bewegung_drinnen;geschick;7;5;Kern;ausführlich beschrieben, Tipps da, kurz genug für einen Slot
sw-gletscherspalte;Gletscherspalte;Spielewiki;bewegung_drinnen;geschick;7;6;Kern;ausführlich beschrieben, kurz genug für einen Slot
sw-hugo;Hugo;Spielewiki;bewegung_drinnen;geschick;7;7;Kern;ausführlich beschrieben, kurz genug für einen Slot
sw-nageln;Nageln;Spielewiki;bewegung_drinnen;geschick;7;8;Kern;Altersstufe da, Tipps da, kurz genug für einen Slot
sw-pflockeln;Pflöckeln;Spielewiki;bewegung_draussen;geschick;7;9;Kern;ausführlich beschrieben, Altersstufe da, Tipps da
sw-wachterspiel;Wächterspiel;Spielewiki;ruhig;geschick;7;10;Kern;ausführlich beschrieben, kein Material
sw-ball-im-kafig;Ball im Käfig;Spielewiki;bewegung_drinnen;geschick;6;11;Kern;ausführlich beschrieben, kurz genug für einen Slot
sw-donner-wetter-blitz;Donner Wetter Blitz;Spielewiki;bewegung_drinnen;geschick;6;12;Kern;ausführlich beschrieben, kurz genug für einen Slot
sw-geschenkeverpacken;Geschenkeverpacken;Spielewiki;bewegung_drinnen;geschick;6;13;Kern;ausführlich beschrieben, kurz genug für einen Slot
sw-hase-und-jager-mit-den-fingern;Hase und Jäger mit den Fingern;Spielewiki;bewegung_drinnen;geschick;6;14;Kern;ausführlich beschrieben, kein Material
sw-himmel-auf-erden;Himmel auf Erden;Spielewiki;bewegung_draussen;geschick;6;15;Kern;ausführlich beschrieben, kurz genug für einen Slot
sw-liegestutz-viereck;Liegestütz-Viereck;Spielewiki;bewegung_drinnen;geschick;6;16;Kern;kurz genug für einen Slot, kein Material
sw-mumie;Mumie;Spielewiki;bewegung_drinnen;geschick;6;17;Kern;ausführlich beschrieben, kurz genug für einen Slot
sw-streichholzschachtel-marathon;Streichholzschachtel-Marathon;Spielewiki;bewegung_drinnen;geschick;6;18;Kern;ausführlich beschrieben, kurz genug für einen Slot
sw-teelichter-bewachen;Teelichter bewachen;Spielewiki;bewegung_drinnen;geschick;6;19;Kern;ausführlich beschrieben, Tipps da
sw-wascheklammernspiel;Wäscheklammernspiel;Spielewiki;ruhig;geschick;6;20;Kern;ausführlich beschrieben, kurz genug für einen Slot
sw-ballweitergabe-mit-beinen;Ballweitergabe mit Beinen;Spielewiki;bewegung_drinnen;geschick;5;21;Reserve (zweite Reihe);ausführlich beschrieben, kurz genug für einen Slot
sw-der-bart-des-weihnachtsmannes;Der Bart des Weihnachtsmannes;Spielewiki;bewegung_drinnen;geschick;5;22;Reserve (zweite Reihe);ausführlich beschrieben, kurz genug für einen Slot
sw-huftschwung;Hüftschwung;Spielewiki;bewegung_drinnen;geschick;5;23;Reserve (zweite Reihe);ausführlich beschrieben, kurz genug für einen Slot
sw-keks-im-gesicht;Keks im Gesicht;Spielewiki;bewegung_drinnen;geschick;5;24;Reserve (zweite Reihe);ausführlich beschrieben, kurz genug für einen Slot
sw-murmelbahn-personen;Murmelbahn (Personen);Spielewiki;bewegung_draussen;geschick;5;25;Reserve (zweite Reihe);ausführlich beschrieben, kurz genug für einen Slot
sw-stierkampf-von-sevilla;Stierkampf von Sevilla;Spielewiki;bewegung_drinnen;geschick;5;26;Reserve (zweite Reihe);ausführlich beschrieben, kurz genug für einen Slot, braucht große Gruppe
sw-toastbrot-wettessen;Toastbrot-Wettessen;Spielewiki;bewegung_drinnen;geschick;5;27;Reserve (zweite Reihe);Tipps da, kurz genug für einen Slot
sw-topfschlagen;Topfschlagen;Spielewiki;bewegung_drinnen;geschick;5;28;Reserve (zweite Reihe);ausführlich beschrieben, kurz genug für einen Slot, viel Material
sw-wildschwein;Wildschwein;Spielewiki;bewegung_drinnen;geschick;5;29;Reserve (zweite Reihe);ausführlich beschrieben
sw-apfelfischen;Apfelfischen;Spielewiki;bewegung_drinnen;geschick;4;30;Reserve (zweite Reihe);kurz genug für einen Slot
sw-holzscheit;Holzscheit;Spielewiki;bewegung_drinnen;geschick;4;31;Reserve (zweite Reihe);kurz genug für einen Slot
sw-kreise-im-dunkeln;Kreise im Dunkeln;Spielewiki;bewegung_drinnen;geschick;4;32;Reserve (zweite Reihe);ausführlich beschrieben, kurz genug für einen Slot
sw-luftballon-rasieren;Luftballon rasieren;Spielewiki;bewegung_drinnen;geschick;4;33;Reserve (zweite Reihe);kurz genug für einen Slot
sw-molkky;Mölkky;Spielewiki;bewegung_drinnen;geschick;4;34;Reserve (zweite Reihe);ausführlich beschrieben
sw-polsterbesetzen;Polsterbesetzen;Spielewiki;bewegung_drinnen;geschick;4;35;Reserve (zweite Reihe);ausführlich beschrieben
sw-strohhalmrallye;Strohhalmrallye;Spielewiki;bewegung_drinnen;geschick;4;36;Reserve (zweite Reihe);kurz genug für einen Slot
sw-tellerdrehen;Tellerdrehen;Spielewiki;bewegung_drinnen;geschick;4;37;Reserve (zweite Reihe);ausführlich beschrieben
sw-wasserbomben-werfen;Wasserbomben-Werfen;Spielewiki;bewegung_drinnen;geschick;4;38;Reserve (zweite Reihe);ausführlich beschrieben
sw-affenschaukel;Affenschaukel;Spielewiki;bewegung_drinnen;geschick;3;39;Reserve (zweite Reihe);ausführlich beschrieben
sw-klopapierrollen-fischen;Klopapierrollen-Fischen;Spielewiki;bewegung_drinnen;geschick;3;40;Reserve (zweite Reihe);kurz genug für einen Slot
sw-kubb;Kubb;Spielewiki;bewegung_drinnen;geschick;3;41;Reserve (zweite Reihe);ausführlich beschrieben
sw-mikado;Mikado;Spielewiki;bewegung_drinnen;geschick;3;42;Reserve (zweite Reihe);ausführlich beschrieben
sw-sandschleuder;Sandschleuder;Spielewiki;bewegung_drinnen;geschick;3;43;Reserve (zweite Reihe);kurz genug für einen Slot
sw-tempelhupfen;Tempelhüpfen;Spielewiki;bewegung_draussen;geschick;3;44;Reserve (zweite Reihe);ausführlich beschrieben
sw-bierdeckel-zielschiessen;Bierdeckel-Zielschießen;Spielewiki;bewegung_drinnen;geschick;2;45;Reserve (zweite Reihe);
sw-highland-games;Highland Games;Spielewiki;bewegung_draussen;geschick;1;46;Reserve (zweite Reihe);ausführlich beschrieben, zu lang für einen Baustein
sw-sportolympiade;Sportolympiade;Spielewiki;bewegung_draussen;geschick;1;47;Reserve (zweite Reihe);ausführlich beschrieben, zu lang für einen Baustein
sw-posterkusse;Posterküsse;Spielewiki;bewegung_drinnen;geschick;0;48;Reserve (zweite Reihe);kurz genug für einen Slot, Anlass passt nicht
sw-mehlschneiden;Mehlschneiden;Spielewiki;bewegung_drinnen;geschick;-1;49;Reserve (zweite Reihe);Dublette, ausführlich beschrieben, kurz genug für einen Slot
sw-teelichter-ausblasen;Teelichter-Ausblasen;Spielewiki;bewegung_drinnen;geschick;-2;50;Reserve (zweite Reihe);Dublette, ausführlich beschrieben, kurz genug für einen Slot
sw-polsterspiel;Polsterspiel;Spielewiki;bewegung_drinnen;geschick;-3;51;Reserve (zweite Reihe);Dublette, kurz genug für einen Slot
sw-sitzfussball-bewegungsspiel;Sitzfußball (Bewegungsspiel);Spielewiki;bewegung_drinnen;geschick;-4;52;Reserve (zweite Reihe);Dublette
sw-burgensturm;Burgensturm;Spielewiki;bewegung_drinnen;kampf;9;1;Kern;ausführlich beschrieben, kurz genug für einen Slot, kein Material
sw-knieboxen;Knieboxen;Spielewiki;bewegung_drinnen;kampf;9;2;Kern;ausführlich beschrieben, kurz genug für einen Slot, kein Material
sw-liegestutz-kampf;Liegestütz-Kampf;Spielewiki;bewegung_drinnen;kampf;9;3;Kern;ausführlich beschrieben, Tipps da, kurz genug für einen Slot, kein Material
sw-moskito;Moskito;Spielewiki;bewegung_drinnen;kampf;9;4;Kern;ausführlich beschrieben, kurz genug für einen Slot, kein Material
sw-po-gegen-po;Po gegen Po;Spielewiki;bewegung_drinnen;kampf;9;5;Kern;ausführlich beschrieben, kurz genug für einen Slot, kein Material
sw-schwertkampf;Schwertkampf;Spielewiki;bewegung_drinnen;kampf;9;6;Reserve (zweite Reihe);ausführlich beschrieben, kurz genug für einen Slot, kein Material
sw-ninja;Ninja;Spielewiki;bewegung_drinnen;kampf;8;7;Reserve (zweite Reihe);ausführlich beschrieben, kurz genug für einen Slot, kein Material
sw-hahnenkampf;Hahnenkampf;Spielewiki;bewegung_drinnen;kampf;7;8;Reserve (zweite Reihe);kurz genug für einen Slot, kein Material
sw-grashupfer;Grashüpfer;Spielewiki;bewegung_drinnen;kampf;6;9;Reserve (zweite Reihe);ausführlich beschrieben, kurz genug für einen Slot
sw-scrum;Scrum;Spielewiki;bewegung_drinnen;kampf;6;10;Reserve (zweite Reihe);ausführlich beschrieben, kurz genug für einen Slot
sw-krebsgedrange;Krebsgedränge;Spielewiki;bewegung_drinnen;kampf;0;11;Reserve (zweite Reihe);Dublette, ausführlich beschrieben, kurz genug für einen Slot
sw-kindersumo;Kindersumo;Spielewiki;bewegung_drinnen;kampf;-2;12;Reserve (zweite Reihe);Dublette, kurz genug für einen Slot
ps-batollo;Batollo;pfadfinder-spiele;kreis;konzentration;11;1;Kern;ausführlich beschrieben, Altersstufe da, kurz genug für einen Slot, kein Material
ps-pantomime-stille-post;Pantomime Stille Post;pfadfinder-spiele;ruhig;konzentration;11;2;Kern;ausführlich beschrieben, Altersstufe da, kurz genug für einen Slot, kein Material
ps-samurai;Samurai;pfadfinder-spiele;kreis;konzentration;11;3;Kern;ausführlich beschrieben, Altersstufe da, kurz genug für einen Slot, kein Material
ps-tischklatschen;Tischklatschen;pfadfinder-spiele;kreis;konzentration;10;4;Kern;ausführlich beschrieben, Altersstufe da, kurz genug für einen Slot, kein Material
sw-nippon-ha;Nippon Ha;Spielewiki;ruhig;konzentration;9;5;Kern;ausführlich beschrieben, kurz genug für einen Slot, kein Material
ps-zauberball-sip-sop;Zauberball;pfadfinder-spiele;kreis;konzentration;9;6;Kern;Altersstufe da, kurz genug für einen Slot, kein Material
ps-der-verrueckte-professor;Der verrückte Professor;pfadfinder-spiele;ruhig;konzentration;8;7;Kern;ausführlich beschrieben, Altersstufe da, kein Material
ps-kontakt-3-2-1;Kontakt 3 2 1;pfadfinder-spiele;ruhig;konzentration;8;8;Kern;ausführlich beschrieben, Altersstufe da, kurz genug für einen Slot, kein Material, Corona/Online
sw-mordern;Mördern;Spielewiki;ruhig;konzentration;8;9;Kern;ausführlich beschrieben, kurz genug für einen Slot, kein Material
sw-arme-im-takt;Arme im Takt;Spielewiki;ruhig;konzentration;7;10;Kern;ausführlich beschrieben, kein Material
ps-improtheater;Improtheater;pfadfinder-spiele;ruhig;konzentration;7;11;Reserve (zweite Reihe);Altersstufe da, kein Material
ps-kreativ-tabu;Kreativ Tabu;pfadfinder-spiele;ruhig;konzentration;7;12;Reserve (zweite Reihe);ausführlich beschrieben, Altersstufe da, Tipps da
ps-crazy-mother-fucker;Zwei Plätze weiter;pfadfinder-spiele;ruhig;konzentration;7;13;Reserve (zweite Reihe);ausführlich beschrieben, Altersstufe da, Tipps da, zu lang für einen Baustein, kein Material
ps-detektiv;Detektiv;pfadfinder-spiele;kreis;konzentration;6;14;Reserve (zweite Reihe);Altersstufe da, kurz genug für einen Slot
ps-kotzendes-kaenguru;Kotzendes Känguru;pfadfinder-spiele;kreis;konzentration;6;15;Reserve (zweite Reihe);Dublette, ausführlich beschrieben, Altersstufe da, Tipps da, kurz genug für einen Slot, kein Material
ps-loeffelkoenig;Löffelkönig;pfadfinder-spiele;kreis;konzentration;6;16;Reserve (zweite Reihe);Altersstufe da, kurz genug für einen Slot
ps-menschenmemory;Menschenmemory;pfadfinder-spiele;ruhig;konzentration;6;17;Reserve (zweite Reihe);ausführlich beschrieben, Altersstufe da, kein Material, Corona/Online
ps-jack-sass-in-der-kueche-mit-tina;Jack saß in der Küche mit Tina;pfadfinder-spiele;kreis;konzentration;5;18;Reserve (zweite Reihe);Dublette, ausführlich beschrieben, Altersstufe da, kurz genug für einen Slot, kein Material
ps-mord-in-der-disko;Mord in der Disko;pfadfinder-spiele;ruhig;konzentration;5;19;Reserve (zweite Reihe);ausführlich beschrieben, Altersstufe da
ps-huhn-spiel;Huhn-Spiel;pfadfinder-spiele;kreis;konzentration;4;20;Reserve (zweite Reihe);ausführlich beschrieben, Altersstufe da, braucht große Gruppe
ps-personen-malen;Personen malen;pfadfinder-spiele;ruhig;konzentration;4;21;Reserve (zweite Reihe);Altersstufe da, Tipps da
ps-zuzwinkern-hundehuette;Zuzwinkern;pfadfinder-spiele;kreis;konzentration;4;22;Reserve (zweite Reihe);Dublette, ausführlich beschrieben, Altersstufe da, kurz genug für einen Slot, kein Material
ps-dirigent;Dirigent;pfadfinder-spiele;kreis;konzentration;3;23;Reserve (zweite Reihe);Dublette, Altersstufe da, kurz genug für einen Slot, kein Material
ps-zuzwinckern-sterben;Zuzwinckern (+sterben);pfadfinder-spiele;kreis;konzentration;3;24;Reserve (zweite Reihe);Dublette, Altersstufe da, kurz genug für einen Slot, kein Material
ps-goofy;Goofy;pfadfinder-spiele;ruhig;konzentration;-1;25;Reserve (zweite Reihe);Dublette, ausführlich beschrieben, Altersstufe da
ps-reise-nach-jerusalem;Reise nach Jerusalem;pfadfinder-spiele;ruhig;konzentration;-1;26;Reserve (zweite Reihe);Dublette, Altersstufe da, kurz genug für einen Slot
ps-wer-bin-ich;Wer bin ich?;pfadfinder-spiele;ruhig;konzentration;-5;27;Reserve (zweite Reihe);Dublette, Altersstufe da, Corona/Online
sw-gesichter-ertasten;Gesichter ertasten;Spielewiki;ruhig;merken;9;1;Kern;ausführlich beschrieben, kurz genug für einen Slot, kein Material
sw-eine-minute;Eine Minute;Spielewiki;ruhig;merken;7;2;Kern;ausführlich beschrieben, kurz genug für einen Slot
sw-geschmackskim;Geschmackskim;Spielewiki;ruhig;merken;7;3;Kern;ausführlich beschrieben, kurz genug für einen Slot
sw-klapperschlangen;Klapperschlangen;Spielewiki;ruhig;merken;7;4;Kern;ausführlich beschrieben, kurz genug für einen Slot
sw-memory-fangen;Memory-Fangen;Spielewiki;ruhig;merken;7;5;Kern;ausführlich beschrieben, kurz genug für einen Slot
sw-tastkim;Tastkim;Spielewiki;ruhig;merken;7;6;Reserve (zweite Reihe);ausführlich beschrieben, kurz genug für einen Slot
sw-bello-dein-knochen-ist-weg;Bello, dein Knochen ist weg;Spielewiki;ruhig;merken;6;7;Reserve (zweite Reihe);ausführlich beschrieben, kurz genug für einen Slot
sw-munzen-kim;Münzen-Kim;Spielewiki;ruhig;merken;6;8;Reserve (zweite Reihe);ausführlich beschrieben, kurz genug für einen Slot
sw-gewichte-sortieren;Gewichte sortieren;Spielewiki;ruhig;merken;5;9;Reserve (zweite Reihe);ausführlich beschrieben, kurz genug für einen Slot, viel Material
sw-gerausche-kim-in-filmdose;Geräusche-Kim in Filmdose;Spielewiki;ruhig;merken;4;10;Reserve (zweite Reihe);kurz genug für einen Slot
sw-paare-aufdecken;Paare aufdecken;Spielewiki;ruhig;merken;3;11;Reserve (zweite Reihe);ausführlich beschrieben
sw-bilderkim;Bilderkim;Spielewiki;ruhig;merken;1;12;Reserve (zweite Reihe);Dublette, ausführlich beschrieben, kurz genug für einen Slot
sw-geruchskim;Geruchskim;Spielewiki;ruhig;merken;-1;13;Reserve (zweite Reihe);Dublette, kurz genug für einen Slot
sw-merkkim;Merkkim;Spielewiki;ruhig;merken;-2;14;Reserve (zweite Reihe);Dublette, ausführlich beschrieben, kurz genug für einen Slot, Corona/Online
sw-anna;Anna;Spielewiki;ankommen;namen;9;1;Kern;ausführlich beschrieben, kurz genug für einen Slot, kein Material
sw-namensalphabet;Namensalphabet;Spielewiki;ankommen;namen;9;2;Kern;ausführlich beschrieben, kurz genug für einen Slot, kein Material
sw-namensmaschine;Namensmaschine;Spielewiki;ankommen;namen;9;3;Kern;ausführlich beschrieben, kurz genug für einen Slot, kein Material
sw-wotan-schuh;Wotan Schuh;Spielewiki;ankommen;namen;9;4;Kern;ausführlich beschrieben, kurz genug für einen Slot, kein Material
sw-das-habe-ich-noch-nie-gemacht;Das habe ich noch nie gemacht;Spielewiki;ankommen;namen;8;5;Kern;ausführlich beschrieben, kurz genug für einen Slot, kein Material
ps-gruppennetz;Gruppennetz;pfadfinder-spiele;ankommen;namen;8;6;Kern;ausführlich beschrieben, Altersstufe da, kurz genug für einen Slot
ps-klopapier-namensspiel;Klopapier Namensspiel;pfadfinder-spiele;ankommen;namen;8;7;Kern;ausführlich beschrieben, Altersstufe da, kurz genug für einen Slot
sw-landkarte;Landkarte;Spielewiki;ankommen;namen;8;8;Kern;ausführlich beschrieben, kurz genug für einen Slot, kein Material
sw-locher-stopfen;Löcher stopfen;Spielewiki;ankommen;namen;8;9;Kern;ausführlich beschrieben, kurz genug für einen Slot, kein Material
ps-namensjonglage;Namensjonglage;pfadfinder-spiele;ankommen;namen;8;10;Kern;ausführlich beschrieben, Altersstufe da, kurz genug für einen Slot
sw-ameisenspiel;Ameisenspiel;Spielewiki;ankommen;namen;7;11;Kern;ausführlich beschrieben, kein Material
sw-atomspiel;Atomspiel;Spielewiki;ankommen;namen;7;12;Kern;ausführlich beschrieben, kurz genug für einen Slot, kein Material, braucht große Gruppe
sw-aufgabenchaos;Aufgabenchaos;Spielewiki;ankommen;namen;7;13;Kern;ausführlich beschrieben, kurz genug für einen Slot, kein Material
sw-begrussung-international;Begrüßung international;Spielewiki;ankommen;namen;7;14;Kern;ausführlich beschrieben, Tipps da, kurz genug für einen Slot
sw-geruchtekuche;Gerüchteküche;Spielewiki;ankommen;namen;7;15;Kern;ausführlich beschrieben, kurz genug für einen Slot
sw-halt-dich-fest;Halt dich fest;Spielewiki;ankommen;namen;7;16;Kern;ausführlich beschrieben, kein Material
sw-kugellager;Kugellager;Spielewiki;ankommen;namen;7;17;Kern;ausführlich beschrieben, kein Material
sw-luftballon-kennenlernspiel;Luftballon (Kennenlernspiel);Spielewiki;ankommen;namen;7;18;Kern;ausführlich beschrieben, kurz genug für einen Slot
sw-namenstausch;Namenstausch;Spielewiki;ankommen;namen;7;19;Kern;ausführlich beschrieben, kein Material
sw-pelele;Pelele;Spielewiki;ankommen;namen;7;20;Kern;ausführlich beschrieben, kurz genug für einen Slot
sw-peng;Peng;Spielewiki;ankommen;namen;7;21;Kern;ausführlich beschrieben, kein Material
ps-prinzball;Prinzball;pfadfinder-spiele;ankommen;namen;7;22;Kern;ausführlich beschrieben, Altersstufe da, kurz genug für einen Slot
sw-vorstellung-mit-sussigkeiten;Vorstellung mit Süßigkeiten;Spielewiki;ankommen;namen;7;23;Kern;ausführlich beschrieben, kurz genug für einen Slot
sw-whiskymixer-wachsmaske;Whiskymixer Wachsmaske;Spielewiki;ankommen;namen;7;24;Kern;ausführlich beschrieben, kein Material
sw-autogrammspiel;Autogrammspiel;Spielewiki;ankommen;namen;6;25;Kern;ausführlich beschrieben, kurz genug für einen Slot
sw-bermudadreieck;Bermudadreieck;Spielewiki;ankommen;namen;6;26;Kern;ausführlich beschrieben, kein Material
sw-das-schnelle-namensspiel;Das schnelle Namensspiel;Spielewiki;ankommen;namen;6;27;Kern;ausführlich beschrieben, kurz genug für einen Slot
ps-das-schnellste-namensspiel-der-welt;Das schnellste Namensspiel der Welt;pfadfinder-spiele;ankommen;namen;6;28;Reserve (zweite Reihe);Altersstufe da, kurz genug für einen Slot
sw-der-ruf-eilt-dir-voraus;Der Ruf eilt dir voraus;Spielewiki;ankommen;namen;6;29;Reserve (zweite Reihe);ausführlich beschrieben, kein Material
sw-funken;Funken;Spielewiki;ankommen;namen;6;30;Reserve (zweite Reihe);ausführlich beschrieben, kein Material
sw-gerausche-kim-fur-paare;Geräusche-Kim für Paare;Spielewiki;ankommen;namen;6;31;Reserve (zweite Reihe);ausführlich beschrieben, kurz genug für einen Slot
sw-gesucht-wird;Gesucht wird;Spielewiki;ankommen;namen;6;32;Reserve (zweite Reihe);ausführlich beschrieben, kurz genug für einen Slot
sw-koffer-packen-auf-dem-trampolin;Koffer Packen auf dem Trampolin;Spielewiki;ankommen;namen;6;33;Reserve (zweite Reihe);ausführlich beschrieben, kurz genug für einen Slot
sw-picasso-challenge;Picasso-Challenge;Spielewiki;ankommen;namen;6;34;Reserve (zweite Reihe);ausführlich beschrieben, kurz genug für einen Slot
sw-wer-hat-die-meisten;Wer hat die meisten;Spielewiki;ankommen;namen;6;35;Reserve (zweite Reihe);ausführlich beschrieben, kurz genug für einen Slot, kein Material, Corona/Online
sw-zweierzeichnung;Zweierzeichnung;Spielewiki;ankommen;namen;6;36;Reserve (zweite Reihe);ausführlich beschrieben, kurz genug für einen Slot
sw-ballwurfkette;Ballwurfkette;Spielewiki;ankommen;namen;5;37;Reserve (zweite Reihe);ausführlich beschrieben
sw-klopapierrolle;Klopapierrolle;Spielewiki;ankommen;namen;5;38;Reserve (zweite Reihe);kurz genug für einen Slot
sw-namensschreck;Namensschreck;Spielewiki;ankommen;namen;5;39;Reserve (zweite Reihe);ausführlich beschrieben
sw-netzwerk;Netzwerk;Spielewiki;ankommen;namen;5;40;Reserve (zweite Reihe);ausführlich beschrieben, kurz genug für einen Slot
sw-reihenbildung;Reihenbildung;Spielewiki;ankommen;namen;5;41;Reserve (zweite Reihe);ausführlich beschrieben
sw-stori;Störi;Spielewiki;ankommen;namen;5;42;Reserve (zweite Reihe);ausführlich beschrieben
sw-aufgabensammlung;Aufgabensammlung;Spielewiki;ankommen;namen;4;43;Reserve (zweite Reihe);ausführlich beschrieben
sw-besetzt;Besetzt;Spielewiki;ankommen;namen;4;44;Reserve (zweite Reihe);ausführlich beschrieben
sw-brieftrager;Briefträger;Spielewiki;ankommen;namen;4;45;Reserve (zweite Reihe);ausführlich beschrieben
sw-den-dritten-erfinden;Den Dritten erfinden;Spielewiki;ankommen;namen;4;46;Reserve (zweite Reihe);kurz genug für einen Slot, kein Material, Corona/Online
sw-doppelganger;Doppelgänger;Spielewiki;ankommen;namen;4;47;Reserve (zweite Reihe);ausführlich beschrieben
sw-drei-dinge;Drei Dinge;Spielewiki;ankommen;namen;4;48;Reserve (zweite Reihe);kurz genug für einen Slot, kein Material, Corona/Online
sw-greif-zu;Greif zu;Spielewiki;ankommen;namen;4;49;Reserve (zweite Reihe);ausführlich beschrieben
