familie;id;titel;quelle;kategorie;unterkategorie;dauer_min;dauer_max;vorschlag
Blind- und Vertrauensspiele;sw-welle-vertrauensspiel;Welle (Vertrauensspiel);Spielewiki;kooperation;vertrauen;10;20;Familie durchsehen: behalten oder als Variante anhängen
Blind- und Vertrauensspiele;sw-zeltbau-blind;Zeltbau blind;Spielewiki;kooperation;team;15;25;Familie durchsehen: behalten oder als Variante anhängen
Stille Post und Weitergabespiele;sw-ballweitergabe-mit-beinen;Ballweitergabe mit Beinen;Spielewiki;bewegung_drinnen;geschick;10;20;Familie durchsehen: behalten oder als Variante anhängen
Stille Post und Weitergabespiele;sw-ballwurfkette;Ballwurfkette;Spielewiki;ankommen;namen;10;30;Familie durchsehen: behalten oder als Variante anhängen
Stille Post und Weitergabespiele;sw-kette-durch-den-reifen;Kette durch den Reifen;Spielewiki;kooperation;team;10;20;Familie durchsehen: behalten oder als Variante anhängen
Stille Post und Weitergabespiele;ps-kettenfangen;Kettenfangen;pfadfinder-spiele;ankommen;fangen;15;25;Dublette – siehe dubletten_cluster.csv
Stille Post und Weitergabespiele;sw-kettenfangen;Kettenfangen;Spielewiki;bewegung_drinnen;fangen;10;20;Familie durchsehen: behalten oder als Variante anhängen
Stille Post und Weitergabespiele;sw-laute-post;Laute Post;Spielewiki;kooperation;team;5;10;Dublette – siehe dubletten_cluster.csv
Stille Post und Weitergabespiele;sw-massagekette;Massagekette;Spielewiki;bewegung_drinnen;singen;10;30;Familie durchsehen: behalten oder als Variante anhängen
Stille Post und Weitergabespiele;ps-pantomime-stille-post;Pantomime Stille Post;pfadfinder-spiele;ruhig;konzentration;5;15;Familie durchsehen: behalten oder als Variante anhängen
Stille Post und Weitergabespiele;sw-posterkusse;Posterküsse;Spielewiki;bewegung_drinnen;geschick;10;20;Familie durchsehen: behalten oder als Variante anhängen
Stille Post und Weitergabespiele;sw-stille-post;Stille Post;Spielewiki;kooperation;team;5;10;Familie durchsehen: behalten oder als Variante anhängen
Stille Post und Weitergabespiele;sw-stille-post-in-bildern;Stille Post in Bildern;Spielewiki;ruhig;darstellen;10;20;Familie durchsehen: behalten oder als Variante anhängen
Stille Post und Weitergabespiele;sw-wortkette;Wortkette;Spielewiki;kooperation;team;10;30;Familie durchsehen: behalten oder als Variante anhängen
Zeitungs- und Papierspiele;ps-klopapier-namensspiel;Klopapier Namensspiel;pfadfinder-spiele;ankommen;namen;10;20;Familie durchsehen: behalten oder als Variante anhängen
Zeitungs- und Papierspiele;sw-klopapierrolle;Klopapierrolle;Spielewiki;ankommen;namen;5;10;Familie durchsehen: behalten oder als Variante anhängen
Zeitungs- und Papierspiele;sw-klopapierrollen-fischen;Klopapierrollen-Fischen;Spielewiki;bewegung_drinnen;geschick;5;10;Familie durchsehen: behalten oder als Variante anhängen
Zeitungs- und Papierspiele;ps-papierflieger-mit-herausforderung;Papierflieger mit Herausforderung;pfadfinder-spiele;ankommen;warmup;5;10;Familie durchsehen: behalten oder als Variante anhängen
Zeitungs- und Papierspiele;sw-papierflieger-wettkampf;Papierflieger-Wettkampf;Spielewiki;kooperation;team;10;20;Familie durchsehen: behalten oder als Variante anhängen
Zeitungs- und Papierspiele;sw-papierknauel-reflexion;Papierknäuel-Reflexion;Spielewiki;ruhig;reflexion;5;10;Familie durchsehen: behalten oder als Variante anhängen
Zeitungs- und Papierspiele;sw-schere-stein-papier;Schere Stein Papier;Spielewiki;ruhig;tisch;10;20;Familie durchsehen: behalten oder als Variante anhängen
Zeitungs- und Papierspiele;sw-schere-stein-papier-online;Schere Stein Papier Online;Spielewiki;ruhig;tisch;10;20;Familie durchsehen: behalten oder als Variante anhängen
Zeitungs- und Papierspiele;sw-wanderndes-klopapier;Wanderndes Klopapier;Spielewiki;kooperation;team;45;90;Familie durchsehen: behalten oder als Variante anhängen
Zeitungs- und Papierspiele;sw-zeitungsreissen;Zeitungsreißen;Spielewiki;bewegung_drinnen;wettkampf;10;15;Familie durchsehen: behalten oder als Variante anhängen
Zeitungs- und Papierspiele;sw-zeitungstanz;Zeitungstanz;Spielewiki;bewegung_drinnen;singen;10;20;Familie durchsehen: behalten oder als Variante anhängen
Kim-Spiele (Sinne und Merken);sw-gerausche-kim-fur-paare;Geräusche-Kim für Paare;Spielewiki;ankommen;namen;10;20;Familie durchsehen: behalten oder als Variante anhängen
Kim-Spiele (Sinne und Merken);sw-gerausche-kim-in-filmdose;Geräusche-Kim in Filmdose;Spielewiki;ruhig;merken;10;20;Familie durchsehen: behalten oder als Variante anhängen
Kim-Spiele (Sinne und Merken);sw-geruchs-kim-mit-parfum;Geruchs-Kim mit Parfüm;Spielewiki;ankommen;team;5;15;Familie durchsehen: behalten oder als Variante anhängen
Kim-Spiele (Sinne und Merken);insp-kim-gedaechtnisspiel;Kim-Gedächtnisspiel;Inspirator (DPBM);ruhig;sonstiges;30;45;Familie durchsehen: behalten oder als Variante anhängen
Kim-Spiele (Sinne und Merken);insp-kindermemorix;Kindermemorix;Inspirator (DPBM);bewegung_drinnen;toben;10;30;Familie durchsehen: behalten oder als Variante anhängen
Kim-Spiele (Sinne und Merken);sw-memory-fangen;Memory-Fangen;Spielewiki;ruhig;merken;10;20;Familie durchsehen: behalten oder als Variante anhängen
Kim-Spiele (Sinne und Merken);ps-menschenmemory;Menschenmemory;pfadfinder-spiele;ruhig;konzentration;15;25;Familie durchsehen: behalten oder als Variante anhängen
Kim-Spiele (Sinne und Merken);sw-munzen-kim;Münzen-Kim;Spielewiki;ruhig;merken;10;20;Familie durchsehen: behalten oder als Variante anhängen
Kim-Spiele (Sinne und Merken);insp-woelflings-memory;Wölflings-Memory;Inspirator (DPBM);bewegung_drinnen;toben;30;45;Familie durchsehen: behalten oder als Variante anhängen
Werwolf, Mafia, Mörderspiele;ps-detektiv;Detektiv;pfadfinder-spiele;kreis;konzentration;10;20;Familie durchsehen: behalten oder als Variante anhängen
Werwolf, Mafia, Mörderspiele;sw-mafia;Mafia;Spielewiki;ruhig;team;20;30;Familie durchsehen: behalten oder als Variante anhängen
Werwolf, Mafia, Mörderspiele;sw-morder-unter-uns;Mörder unter uns;Spielewiki;kooperation;team;45;90;Familie durchsehen: behalten oder als Variante anhängen
Werwolf, Mafia, Mörderspiele;ps-moerderball;Mörderball;pfadfinder-spiele;bewegung_draussen;wettkampf;10;20;Familie durchsehen: behalten oder als Variante anhängen
Werwolf, Mafia, Mörderspiele;sw-mordern;Mördern;Spielewiki;ruhig;konzentration;5;10;Familie durchsehen: behalten oder als Variante anhängen
Werwolf, Mafia, Mörderspiele;sw-morderspiel;Mörderspiel;Spielewiki;kooperation;team;45;90;Familie durchsehen: behalten oder als Variante anhängen
Werwolf, Mafia, Mörderspiele;sw-wer-ist-der-morder;Wer ist der Mörder;Spielewiki;bewegung_drinnen;team;10;20;Familie durchsehen: behalten oder als Variante anhängen
Werwolf, Mafia, Mörderspiele;ps-werwolf;Werwolf;pfadfinder-spiele;kreis;team;20;40;Dublette – siehe dubletten_cluster.csv
Werwolf, Mafia, Mörderspiele;eig-werwolf-abend;Werwolf-Abend;eigene;bewegung_drinnen;sonstiges;60;120;Familie durchsehen: behalten oder als Variante anhängen
Stuhlkreis-Spiele (Reise nach Jerusalem, Obstsalat …);insp-alle-die-obstsalat;Alle, die… (Obstsalat);Inspirator (DPBM);bewegung_drinnen;toben;10;30;Dublette – siehe dubletten_cluster.csv
Stuhlkreis-Spiele (Reise nach Jerusalem, Obstsalat …);sw-kippstuhl;Kippstuhl;Spielewiki;kooperation;team;5;10;Familie durchsehen: behalten oder als Variante anhängen
Stuhlkreis-Spiele (Reise nach Jerusalem, Obstsalat …);ps-obstsalat;Obstsalat;pfadfinder-spiele;kreis;toben;15;25;Dublette – siehe dubletten_cluster.csv
Stuhlkreis-Spiele (Reise nach Jerusalem, Obstsalat …);sw-obstsalat;Obstsalat;Spielewiki;kreis;ruhig;10;30;Familie durchsehen: behalten oder als Variante anhängen
Stuhlkreis-Spiele (Reise nach Jerusalem, Obstsalat …);ps-reise-nach-jerusalem;Reise nach Jerusalem;pfadfinder-spiele;ruhig;konzentration;10;20;Dublette – siehe dubletten_cluster.csv
Stuhlkreis-Spiele (Reise nach Jerusalem, Obstsalat …);sw-reise-nach-jerusalem;Reise nach Jerusalem;Spielewiki;bewegung_drinnen;singen;5;10;Familie durchsehen: behalten oder als Variante anhängen
Stuhlkreis-Spiele (Reise nach Jerusalem, Obstsalat …);sw-reise-nach-jerusalem-extrem;Reise nach Jerusalem extrem;Spielewiki;bewegung_drinnen;singen;10;20;Dublette – siehe dubletten_cluster.csv
Stuhlkreis-Spiele (Reise nach Jerusalem, Obstsalat …);ps-stuhlfangen;Stuhlfangen;pfadfinder-spiele;kreis;team;5;15;Familie durchsehen: behalten oder als Variante anhängen
Stuhlkreis-Spiele (Reise nach Jerusalem, Obstsalat …);ps-stuhlrutschen-nach-kartenfarben;Stuhlrutschen (nach Kartenfarben);pfadfinder-spiele;kreis;sonstiges;15;35;Familie durchsehen: behalten oder als Variante anhängen
Klatsch-, Rhythmus- und Singspiele;sw-becher-rhythmus;Becher-Rhythmus;Spielewiki;kreis;singen;10;30;Familie durchsehen: behalten oder als Variante anhängen
Klatsch-, Rhythmus- und Singspiele;sw-klatschball;Klatschball;Spielewiki;kreis;ball;10;20;Familie durchsehen: behalten oder als Variante anhängen
Klatsch-, Rhythmus- und Singspiele;sw-lied-gurgeln;Lied gurgeln;Spielewiki;ruhig;denken;10;30;Dublette – siehe dubletten_cluster.csv
Klatsch-, Rhythmus- und Singspiele;sw-lieder-raten;Lieder raten;Spielewiki;ruhig;denken;10;30;Familie durchsehen: behalten oder als Variante anhängen
Klatsch-, Rhythmus- und Singspiele;insp-liedtitel-in-emojis-verpacken;Liedtitel in Emojis verpacken;Inspirator (DPBM);bewegung_drinnen;sonstiges;30;45;Familie durchsehen: behalten oder als Variante anhängen
Klatsch-, Rhythmus- und Singspiele;sw-melodie-raten;Melodie raten;Spielewiki;ruhig;denken;10;30;Dublette – siehe dubletten_cluster.csv
Klatsch-, Rhythmus- und Singspiele;sw-mimi-klatsch-spiel;Mimi-Klatsch-Spiel;Spielewiki;kreis;singen;10;20;Familie durchsehen: behalten oder als Variante anhängen
Klatsch-, Rhythmus- und Singspiele;ps-tischklatschen;Tischklatschen;pfadfinder-spiele;kreis;konzentration;5;15;Familie durchsehen: behalten oder als Variante anhängen
Kraft- und Kampfspiele;sw-hahnenkampf;Hahnenkampf;Spielewiki;bewegung_drinnen;kampf;5;10;Familie durchsehen: behalten oder als Variante anhängen
Kraft- und Kampfspiele;sw-liegestutz-kampf;Liegestütz-Kampf;Spielewiki;bewegung_drinnen;kampf;10;20;Familie durchsehen: behalten oder als Variante anhängen
Kraft- und Kampfspiele;sw-papierflieger-wettkampf;Papierflieger-Wettkampf;Spielewiki;kooperation;team;10;20;Familie durchsehen: behalten oder als Variante anhängen
Kraft- und Kampfspiele;ps-prinzessin-ritter-drache;Prinzessin, Ritter, Drache;pfadfinder-spiele;ankommen;fangen;15;25;Familie durchsehen: behalten oder als Variante anhängen
Kraft- und Kampfspiele;sw-schwertkampf;Schwertkampf;Spielewiki;bewegung_drinnen;kampf;5;10;Familie durchsehen: behalten oder als Variante anhängen
Kraft- und Kampfspiele;sw-seilspringen;Seilspringen;Spielewiki;bewegung_drinnen;wettkampf;5;10;Familie durchsehen: behalten oder als Variante anhängen
Kraft- und Kampfspiele;ps-sockenkampf;Sockenkampf;pfadfinder-spiele;ankommen;warmup;5;15;Familie durchsehen: behalten oder als Variante anhängen
Kraft- und Kampfspiele;sw-stierkampf-von-sevilla;Stierkampf von Sevilla;Spielewiki;bewegung_drinnen;geschick;10;15;Familie durchsehen: behalten oder als Variante anhängen
Seil-, Knoten- und Kooperationsaufgaben;ps-gordischer-knoten;Gordischer Knoten;pfadfinder-spiele;kooperation;vertrauen;5;15;Dublette – siehe dubletten_cluster.csv
Seil-, Knoten- und Kooperationsaufgaben;sw-gordischer-knoten;Gordischer Knoten;Spielewiki;kooperation;team;10;20;Familie durchsehen: behalten oder als Variante anhängen
Seil-, Knoten- und Kooperationsaufgaben;sw-seilspringen;Seilspringen;Spielewiki;bewegung_drinnen;wettkampf;5;10;Familie durchsehen: behalten oder als Variante anhängen
Seil-, Knoten- und Kooperationsaufgaben;sw-seilziehen;Seilziehen;Spielewiki;bewegung_drinnen;toben;10;20;Familie durchsehen: behalten oder als Variante anhängen
Seil-, Knoten- und Kooperationsaufgaben;sw-spinnennetz;Spinnennetz;Spielewiki;kooperation;team;5;15;Familie durchsehen: behalten oder als Variante anhängen
Seil-, Knoten- und Kooperationsaufgaben;sw-turmbau;Turmbau;Spielewiki;kooperation;team;10;20;Familie durchsehen: behalten oder als Variante anhängen
Gelände- und Nachtspiele;ps-capture-the-flag;Capture the flag;pfadfinder-spiele;gelaende;gelaende;30;60;Dublette – siehe dubletten_cluster.csv
Gelände- und Nachtspiele;sw-capture-the-flag;Capture the Flag;Spielewiki;gelaende;gelaende;30;60;Familie durchsehen: behalten oder als Variante anhängen
Gelände- und Nachtspiele;eig-capture-the-flag-im-dunkeln;Capture the Flag im Dunkeln;eigene;gelaende;gelaende;60;90;Familie durchsehen: behalten oder als Variante anhängen
Gelände- und Nachtspiele;ps-grenze;Grenze;pfadfinder-spiele;bewegung_draussen;wettkampf;45;95;Familie durchsehen: behalten oder als Variante anhängen
Gelände- und Nachtspiele;sw-rauber-und-kaufleute;Räuber und Kaufleute;Spielewiki;bewegung_drinnen;toben;10;20;Familie durchsehen: behalten oder als Variante anhängen
Gelände- und Nachtspiele;sw-schmuggeln;Schmuggeln;Spielewiki;gelaende;gelaende;20;40;Familie durchsehen: behalten oder als Variante anhängen
Luftballon-Spiele;sw-luftballon-kennenlernspiel;Luftballon (Kennenlernspiel);Spielewiki;ankommen;namen;5;15;Familie durchsehen: behalten oder als Variante anhängen
Luftballon-Spiele;sw-luftballon-rasieren;Luftballon rasieren;Spielewiki;bewegung_drinnen;geschick;5;10;Familie durchsehen: behalten oder als Variante anhängen
Luftballon-Spiele;insp-luftballonstaffel;Luftballonstaffel;Inspirator (DPBM);bewegung_draussen;toben;10;30;Familie durchsehen: behalten oder als Variante anhängen
Luftballon-Spiele;sw-luftballontanz;Luftballontanz;Spielewiki;bewegung_drinnen;singen;5;10;Familie durchsehen: behalten oder als Variante anhängen
Luftballon-Spiele;sw-names-luftballon;Names-Luftballon;Spielewiki;ankommen;namen;5;10;Dublette – siehe dubletten_cluster.csv
Wäscheklammer-Spiele;ps-waescheklammern-klauen;Wäscheklammern klauen;pfadfinder-spiele;ankommen;fangen;5;15;Dublette – siehe dubletten_cluster.csv
Wäscheklammer-Spiele;ps-waescheklammern-sortieren;Wäscheklammern sortieren;pfadfinder-spiele;kooperation;team;5;15;Familie durchsehen: behalten oder als Variante anhängen
Wäscheklammer-Spiele;sw-wascheklammern-diebstahl;Wäscheklammern-Diebstahl;Spielewiki;bewegung_drinnen;toben;10;30;Dublette – siehe dubletten_cluster.csv
Wäscheklammer-Spiele;eig-waescheklammern-jagd;Wäscheklammern-Jagd;eigene;ankommen;fangen;15;30;Familie durchsehen: behalten oder als Variante anhängen
Wäscheklammer-Spiele;sw-wascheklammernspiel;Wäscheklammernspiel;Spielewiki;ruhig;geschick;10;20;Familie durchsehen: behalten oder als Variante anhängen
Papier-und-Stift-Spiele (Stadt-Land-Fluss, Bingo …);sw-worter-geschichte;Wörter-Geschichte;Spielewiki;kooperation;team;10;20;Familie durchsehen: behalten oder als Variante anhängen
Papier-und-Stift-Spiele (Stadt-Land-Fluss, Bingo …);sw-wortbau;Wortbau;Spielewiki;ruhig;denken;10;30;Familie durchsehen: behalten oder als Variante anhängen
Papier-und-Stift-Spiele (Stadt-Land-Fluss, Bingo …);sw-wortdomino;Wortdomino;Spielewiki;kooperation;team;10;30;Familie durchsehen: behalten oder als Variante anhängen
Papier-und-Stift-Spiele (Stadt-Land-Fluss, Bingo …);sw-wortkette;Wortkette;Spielewiki;kooperation;team;10;30;Familie durchsehen: behalten oder als Variante anhängen
Quiz- und Wissensspiele;sw-backerquiz;Bäckerquiz;Spielewiki;ruhig;denken;10;20;Familie durchsehen: behalten oder als Variante anhängen
Quiz- und Wissensspiele;sw-pubquiz;Pubquiz;Spielewiki;ruhig;denken;10;20;Familie durchsehen: behalten oder als Variante anhängen
Quiz- und Wissensspiele;eig-quiz-abend-schlag-die-fuehrung;Quiz-Abend: Schlag die Führung;eigene;ruhig;denken;60;90;Familie durchsehen: behalten oder als Variante anhängen
